TIME,PSF_FLUX,APER_FLUX,BKG_FLUX,QUALITY
2137.1268226452867,2786.8027,2758.727,108.887985,0
2137.133766905027,2793.504,2762.5881,108.86655,0
2137.1407111643002,2810.8533,2756.921,108.8734,0
2137.147655423575,2791.0894,2749.1233,108.87629,0
2137.1545996823825,2798.3809,2757.307,108.82387,0
2137.1615439416564,2790.1438,2755.6433,108.87923,0
2137.1684882004656,2802.1343,2760.2102,108.87655,0
2137.17543245974,2800.3228,2756.5715,108.883316,0
2137.1823767185474,2799.165,2760.1697,108.9022,0
2137.1893209773552,2805.843,2756.951,108.82025,0
2137.1962652356997,2782.687,2754.5747,108.81245,0
2137.203209494508,2797.0815,2752.6545,108.900116,0
2137.2101537528497,2785.4592,2744.4993,108.88066,0
2137.217098011659,2807.7966,2755.7786,108.93108,0
2137.2240422700006,2788.052,2748.9797,108.94162,0
2137.2309865283432,2778.114,2747.598,108.89379,0
2137.237930786221,2788.7722,2754.5557,108.908485,0
2137.2448750445637,2799.816,2754.8413,108.858765,0
2137.2518193029064,2799.1902,2758.5164,108.9316,0
2137.2587635607833,2806.8462,2758.4023,108.89745,0
2137.265707818661,2795.0442,2753.5667,108.91809,0
2137.272652076538,2789.9026,2754.509,108.95978,0
2137.279596334415,2817.9644,2767.3997,108.89085,0
2137.2865405918255,2786.687,2753.6958,108.94673,0
2137.293484849703,2788.2773,2753.7454,108.935974,0
2137.3004291071147,2803.704,2757.6846,108.880394,0
2137.307373364526,2798.8013,2755.99,109.03342,0
2137.3143176219364,2794.0154,2749.7046,108.914246,0
2137.3212618793486,2799.2322,2749.2888,109.05358,0
2137.3282061362943,2804.9082,2765.8804,108.86233,0
2137.335150393706,2803.8738,2751.058,108.91188,0
2137.3420946506512,2813.5151,2759.3682,108.871086,0
2137.349038907598,2797.2715,2756.8254,108.93517,0
2137.3559831645425,2802.943,2751.8867,108.898125,0
2137.362927421488,2802.9668,2759.3547,108.91893,0
2137.3698716784347,2799.5232,2747.7869,108.92739,0
2137.3768159349147,2812.8677,2762.3972,108.93974,0
2137.3837601918603,2802.448,2756.0762,108.86275,0
2137.3907044483403,2801.7341,2758.464,108.88873,0
2137.397648704821,2805.4954,2759.7314,108.8293,0
2137.404592961301,2814.7812,2761.9324,108.87968,0
2137.4115372173146,2815.8813,2762.6055,109.0244,0
2137.4184814737946,2805.2039,2768.8474,108.93295,0
2137.42542572981,2818.8948,2763.4204,108.89165,0
2137.432369985824,2803.1985,2752.8628,108.90013,0
2137.4393142418385,2800.1624,2753.3062,108.93496,0
2137.446258497853,2823.62,2763.9382,108.88351,0
2137.453202753867,2797.3938,2751.2283,108.90493,0
2137.460147009416,2798.3225,2758.1772,108.858475,0
2137.46709126543,2811.723,2760.0522,108.973816,0
2137.4740355209797,2809.8057,2762.3643,108.94051,0
2137.4809797765274,2792.7737,2755.9739,108.88517,0
2137.487924032076,2809.6672,2759.467,108.87735,0
2137.4948682876247,2789.5657,2752.1826,108.92677,0
2137.5018125427086,2795.1113,2747.3037,108.89086,0
2137.5087567977907,2796.245,2755.3838,108.89434,0
2137.5157010533403,2806.4944,2760.1926,108.82542,0
2137.5226453084233,2793.8716,2751.8372,108.92518,0
2137.5295895635063,2804.3826,2760.3777,108.87659,0
2137.5365338181236,2793.3662,2750.6536,108.898094,0
2137.5434780732066,2804.056,2762.0713,108.94866,0
2137.5504223278244,2809.274,2758.2742,108.85856,0
2137.5573665829065,2801.7039,2754.3186,108.91838,0
2137.564310837525,2802.2195,2748.4773,108.864944,0
2137.571255092143,2798.033,2756.8418,108.885666,0
2137.5781993462942,2824.1138,2761.2915,108.8216,0
2137.5851436009107,2816.6465,2768.0007,108.886795,0
2137.5920878550633,2817.3801,2767.5198,108.86029,0
2137.5990321096815,2816.2974,2758.7808,108.893135,0
2137.605976363833,2802.8967,2751.9692,108.81892,0
2137.612920617985,2795.6548,2753.2488,108.8307,0
2137.6198648721356,2797.5723,2752.5,108.842575,0
2137.6268091258225,2796.1494,2749.5503,108.85645,0
2137.633753379974,2811.847,2765.7793,108.901,0
2137.6406976336602,2799.1301,2750.0933,108.88885,0
2137.6476418873463,2808.7078,2752.8523,108.81843,0
2137.6545861410323,2793.6265,2750.5784,108.8213,0
2137.661530394719,2794.0464,2753.8145,108.849976,0
2137.668474648405,2806.732,2757.3862,108.835365,0
2137.6754189016247,2796.2014,2748.012,108.77754,0
2137.6823631553107,2805.1853,2762.228,108.82749,0
2137.689307408532,2815.1562,2764.5454,108.801575,0
2137.6962516617523,2802.3086,2752.8867,108.884995,0
2137.7031959149726,2814.9685,2756.419,108.85336,0
2137.7101401677273,2819.2534,2771.9412,108.771324,0
2137.7170844209477,2809.4243,2751.6934,108.7714,0
2137.7240286737024,2810.765,2757.6802,108.78637,0
2137.7309729269227,2803.194,2754.9683,108.73768,0
2137.7379171796783,2803.0193,2761.1277,108.77074,0
2137.7448614324326,2810.2808,2753.0127,108.84468,0
2137.751805684721,2808.57,2760.0862,108.90276,0
2137.7587499374768,2806.6687,2752.3892,108.78494,0
2137.7656941897667,2802.9343,2755.0295,108.81869,0
2137.7726384425205,2812.379,2766.7969,108.87953,0
2137.779582694809,2806.65,2748.8735,108.81236,0
2137.7865269470985,2807.3608,2755.8047,108.83728,0
